00042+6217 
06364-1840 
06367-2237 
06387+4135 
06404+1925 
06410+0954 
06412+0859 
06462+5927 
06462+5927 
06467+4335 
06482+5542 
06504-3142 
06546+1311 
06550-2024 
07057+5245 
07148+5233 
07229+5517 
07256+2030 
07277+2208 
07277+2127 
07321-0853 
07346+3153 
07366-1429 
07388-2648 
07401+0514 
07422-0331 
07455-1441 
07466+0408 
07475+3325 
07484+1820 
07490+2834 
08086-0259 
08122+1739 
08122+1739 
08259+0734 
08267+2432 
08268+2656 
08316+1806 
08358+0637 
08397+0546 
08445+2827 
08467+2846 
08499+1450 
08516-0711 
08542+3035 
08548+4335 
08555-0758 
09074+2259 
09104+6708 
09109+6331 
09144+0219 
09188+3648 
09213+3426 
09256+5401 
09285+0903 
09285+0811 
09307+3339 
09315+6304 
09320+0943 
09354+3958 
09359+1423 
09587+1058 
09591+5316 
10200+1950 
10205+0626 
10256+0847 
10260+5237 
10476-1516 
10534-0215 
10556+2445 
10598+5854 
11021-1542 
11061+0702 
11098+6320 
11182+3132 
11256+1627 
11268+0301 
11291+3920 
11292-1721 
11317+1422 
11323-2916 
11347+1648 
11387+4507 
11520+0850 
11528+1526 
11551+4629 
12043+2128 
12081+5528 
12145+0847 
12161+4040 
12225+2551 
12225+0518 
12299-1631 
12351+1823 
12387-0422 
12417-0127 
12453-0353 
12492+8325 
12519+1910 
12533+2115 
12560+3819 
12563-0452 
12597-0349 
13099-0532 
13134-1850 
13169+1701 
13218+1746 
13228-1311 
13239+5456 
13309+2414 
13324-1240 
13376-0752 
13431+0332 
13518-3300 
14135+5147 
14162+5122 
14234+0827 
14241+1115 
14407+1625 
14441+6106 
14448+0742 
14450+2704 
14460-2527 
14497+4843 
14506-0001 
14514+1906 
14589-1109 
15006+4717 
15038+4739 
15128+2756 
15145-1826 
15173+7113 
15193+0146 
15218-1510 
15232+3017 
15245+3723 
15282-0921 
15348+1032 
15379+3006 
15382+3615 
15394+3638 
15462+1525 
15559-0210 
15572+0324 
15598+1723 
16011+2610 
16044-1122 
16044-1122 
16044-1127 
16054-1948 
16081+1703 
16089+4521 
16118+4222 
16120-1928 
16121+1155 
16133+1332 
16147+3352 
16167+2909 
16201-2003 
16205-2007 
16212-2536 
16219+1909 
16229+3220 
16231+1350 
16256-2327 
16294+1036 
16309+0159 
16318+4536 
16387+4856 
16413+3136 
16436+0637 
16451+2821 
16472+0204 
16564+6502 
17016+1457 
17048+2805 
17053+5428 
17054+1244 
17146+1423 
17150+2450 
17177-2638 
17180-2417 
17208-1251 
17237+3709 
17290+5052 
17346+0935 
17397+7256 
17411+2431 
17446+0235 
17465+2743 
17503+2517 
17590+3003 
18002+8000 
18009+2633 
18015+2136 
18031-0811 
18055+0230 
18057+1200 
18078+1304 
18096+0400 
18130+2815 
18138-2104 
18239+5848 
18272+0012 
18369+3846 
18389+5221 
18421+3445 
18423-0903 
18443+3940 
18443+3940 
18448+3736 
18452+3819 
18458+3431 
18465-0058 
18498+3249 
18501+3322 
18512+5923 
18562+0412 
18575+5814 
18584+3625 
18588+4041 
18599+1454 
19028+3123 
19037+3545 
19050-0402 
19058+0633 
19060+3553 
19064+0709 
19074+3230 
19138+3909 
19182-1852 
19185+0105 
19268+2110 
19277+3632 
19302+0254 
19307+2758 
19321+2816 
19364+1554 
19387-1009 
19418+5032 
19425+1726 
19441+1222 
19448+1649 
19449+1047 
19450+4508 
19459+3501 
19464+3344 
19482+7016 
19487+1149 
19490+1909 
19490+4423 
19500+1757 
19523+1021 
19525+0039 
19534+2020 
19546-0814 
19556+5226 
20014+5006 
20017-0012 
20035+3601 
20041+1700 
20048+1554 
20051-1136 
20060+3547 
20068-1256 
20073+1605 
20078+0924 
20089+7743 
20099+2055 
20113-0008 
20126+0052 
20184+5524 
20194-1907 
20275-0206 
20289-1749 
20299-1835 
20309+4913 
20312+1116 
20366+6226 
20368+1444 
20375+1436 
20383+4804 
20410+3218 
20456+3043 
20462+1554 
20467+1607 
20487+5155 
20514-0538 
20557+0432 
20585+5028 
20591+0418 
20598+4731 
21023+3931 
21045+0746 
21069+3845 
21086+3012 
21110+0933 
21124-1500 
21137+6424 
21145+1000 
21156+7836 
21167-0739 
21190+3945 
21221+1948 
21258+3640 
21287+7034 
21316-0534 
21376-0023 
21377+0637 
21390+5729 
21404+5735 
21441+2845 
21520+5548 
22038+6438 
22086+5917 
22129+7318 
22189+3746 
22237+2051 
22241-0450 
22284+5825 
22288-0001 
22292+5825 
22305-0807 
22359+3938 
22359-2056 
22393+3903 
22431-0819 
22453-0939 
22477-1403 
22478-0414 
22490+6834 
22564+4136 
23191-1328 
23320+4349 
23460-1841 
23590+5545 
