00075    9.29  0.15 K243V   7.22661  339.55682  359.31541    4.99151  0.3035010  0.22546190   2.6735436  0 E2024-C06  9490  68 1864-2023 0.40 M-v 3Ek MPCLINUX   0000     (75) Eurydike           20231030
00076    8.06  0.15 K243V 205.74523  252.01752  204.28745    2.12287  0.1672705  0.15645464   3.4109635  0 E2024-N27  5931  82 1864-2024 0.70 M-v 3Ek MPCLINUX   0000     (76) Freia              20240702
00077    8.65  0.15 K243V 330.75112   61.50836    1.13031    2.42206  0.1337467  0.22608762   2.6686084  0 E2024-C06  4287  70 1879-2024 0.56 M-v 3Ek MPCLINUX   0000     (77) Frigga             20240121
00078    8.34  0.15 K243V  15.92330  153.16278  333.30586    8.67906  0.2032704  0.23219159   2.6216320  0 E2024-N27  3769  80 1863-2024 0.78 M-v 3Ek MPCLINUX   0000     (78) Diana              20240701
00079    7.78  0.15 K243V 332.40141  201.58473  206.52154    4.61394  0.1909918  0.25789894   2.4443854  0 E2024-C06  8333  85 1863-2023 0.42 M-v 3Ek MPCLINUX   0000     (79) Eurynome           20231215
00080    8.07  0.15 K243V 247.38769  139.59208  218.64522    8.67714  0.1997620  0.28323255   2.2963634  0 E2024-N27  3365  77 1865-2024 0.81 M-v 3Ek MPCLINUX   0000     (80) Sappho             20240701
00081    8.71  0.15 K243V 355.70735   51.38678    0.94085    7.80188  0.2122529  0.20445554   2.8536681  0 E2024-DB9  6053  60 1864-2024 0.44 M-v 3Ek MPCLINUX   0000     (81) Terpsichore        20240222
00082    8.28  0.15 K243V 202.29092  110.89582   25.42794    2.82630  0.2208048  0.21470825   2.7620840  0 E2024-N27  7502  81 1864-2024 0.59 M-v 3Ek MPCLINUX   0000     (82) Alkmene            20240702
00083    8.75  0.15 K243V 335.91821  170.00984   27.66873    4.96721  0.0826758  0.25995411   2.4314850  0 E2024-N27  4882  69 1865-2024 0.69 M-v 3Ek MPCLINUX   0000     (83) Beatrix            20240701
00084    9.34  0.15 K243V 236.07765   15.07102  327.50889    9.31344  0.2357541  0.27137592   2.3627721  0 E2024-N16  4036  60 1865-2024 0.72 M-v 3Ek MPCLINUX   0000     (84) Klio               20240629
00085    7.96  0.15 K243V 271.47645  122.88772  203.05084   11.96096  0.1934592  0.22796729   2.6539192  0 E2024-N27  7230  73 1865-2024 0.56 M-v 3Ek MPCLINUX   0000     (85) Io                 20240701
00086    8.75  0.15 K243V 315.82564  309.05543   86.07019    4.82228  0.2163860  0.18028277   3.1033677  0 E2024-MB4  4414  68 1871-2024 0.75 M-v 3Ek MPCLINUX   0000     (86) Semele             20240628
00087    6.95  0.15 K243V   5.15475  264.48650   73.01128   10.88030  0.0938209  0.15203972   3.4766796  0 E2024-N16  5489  79 1885-2024 0.72 M-v 3Ek MPCLINUX   0000     (87) Sylvia             20240630
00088    7.30  0.15 K243V  73.31903   36.96908  276.37390    5.21516  0.1624712  0.21364180   2.7712682  0 E2024-C37  4326  81 1866-2024 0.62 M-v 3Ek MPCLINUX   0000     (88) Thisbe             20240202
00089    6.37  0.15 K243V 213.30076   45.15746  311.53483   16.12175  0.1841269  0.24187690   2.5511723  0 E2024-MB4  3780  70 1866-2024 0.72 M-v 3Ek MPCLINUX   0000     (89) Julia              20240628
00090    8.45  0.15 K243V 102.54548  244.81958   69.92635    2.20694  0.1700180  0.17636637   3.1491417  0 E2024-G38  6039  86 1866-2024 0.52 M-v 3Ek MPCLINUX   0000     (90) Antiope            20240403
00091    9.15  0.15 K243V 232.29611   74.42581   10.42244    2.10302  0.1075007  0.23660122   2.5889563  0 E2024-N27 10051  78 1866-2024 0.52 M-v 3Ek MPCLINUX   0000     (91) Aegina             20240701
00092    6.77  0.15 K243V 133.84408  236.90672  101.39562    9.92356  0.1052342  0.17345036   3.1843386  0 E2024-KA5  3199  83 1871-2024 0.64 M-v 3Ek MPCLINUX   0000     (92) Undina             20240527
00093    7.90  0.15 K243V 143.80846  275.74495    3.92074    8.53843  0.1411149  0.21528059   2.7571864  0 E2024-FA5  4112  72 1870-2024 0.54 M-v 3Ek MPCLINUX   0000     (93) Minerva            20240329
00094    7.74  0.15 K243V 265.18752   60.39216    2.53978    7.97129  0.0956245  0.17590525   3.1546427  0 E2024-N27  6730  75 1872-2024 0.62 M-v 3Ek MPCLINUX   0000     (94) Aurora             20240702
00095    8.02  0.15 K243V  45.83590  152.88250  242.93486   13.01016  0.1531706  0.18369879   3.0647745  0 E2024-J18  4248  72 1872-2024 0.54 M-v 3Ek MPCLINUX   0000     (95) Arethusa           20240501
00096    7.69  0.15 K243V  78.05591  208.02085  321.47683   15.97925  0.1417594  0.18499184   3.0504764  0 E2024-N16  3817  57 1868-2024 0.74 M-v 3Ek MPCLINUX   0000     (96) Aegle              20240701
00097    7.84  0.15 K243V 358.35644  268.41391  159.60268   11.77569  0.2581082  0.22605663   2.6688524  0 E2024-E02  3908  70 1870-2024 0.60 M-v 3Ek MPCLINUX   0000     (97) Klotho             20240228
00098    8.99  0.15 K243V 168.86539  158.31423  353.88804   15.57742  0.1876581  0.22385414   2.6863296  0 E2024-N27  7235  54 1870-2024 0.52 M-v 3Ek MPCLINUX   0000     (98) Ianthe             20240702
00099    9.48  0.15 K243V 292.50103  195.52367   41.40801   13.86501  0.1975021  0.22684886   2.6626350  0 E2024-MB4  4430  50 1915-2024 0.71 M-v 3Ek MPCLINUX   0000     (99) Dike               20240628
00100    7.78  0.15 K243V 214.16634  183.73473  127.17046    6.43154  0.1682597  0.18158001   3.0885694  0 E2024-N27  7437  81 1871-2024 0.57 M-v 3Ek MPCLINUX   0000    (100) Hekate             20240701
00101    8.43  0.15 K243V 181.10074  347.87680  343.37138   10.19426  0.1408899  0.23747452   2.5826053  0 E2024-N27  6732  63 1871-2024 0.51 M-v 3Ek MPCLINUX   0000    (101) Helena             20240701
00102    9.49  0.15 K243V 299.22337  147.29569  210.76535    5.17420  0.2508986  0.22683657   2.6627312  0 E2024-N27  6724  66 1870-2024 0.60 M-v 3Ek MPCLINUX   0000    (102) Miriam             20240701
00103    7.79  0.15 K243V  33.43905  189.54805  136.06514    5.41857  0.0791871  0.22194261   2.7017319  0 E2024-C06  7862  80 1871-2023 0.44 M-v 3Ek MPCLINUX   0000    (103) Hera               20231215
00104    8.57  0.15 K243V 236.30619   31.74107   41.65395    2.78969  0.1622311  0.17677104   3.1443337  0 E2024-N16  7500  79 1885-2024 0.58 M-v 3Ek MPCLINUX   0000    (104) Klymene            20240701
00105    8.75  0.15 K243V 291.59698   57.05876  188.22195   21.45555  0.1789560  0.26971390   2.3724687  0 E2024-N27  4028  63 1904-2024 0.72 M-v 3Ek MPCLINUX   0007    (105) Artemis            20240701
00106    7.81  0.15 K243V 175.91651  331.64749   61.98689    4.57586  0.1592049  0.17361303   3.1823493  0 E2024-N27  8781  83 1871-2024 0.53 M-v 3Ek MPCLINUX   0000    (106) Dione              20240701
00107    7.12  0.15 K243V 240.31678  305.10650  172.58450   10.00488  0.0654093  0.15141543   3.4862294  0 E2024-N27  4813  76 1868-2024 0.77 M-v 3Ek MPCLINUX   0000    (107) Camilla            20240702
00108    7.99  0.15 K243V 271.43520  213.03720  349.73165    4.20971  0.0628452  0.16965366   3.2316716  0 E2024-JF3  4663  81 1880-2024 0.55 M-v 3Ek MPCLINUX   0000    (108) Hecuba             20240507
00109    9.01  0.15 K243V 292.90732   57.65072    2.74765    7.84589  0.3003019  0.22302093   2.6930162  0 E2024-N27  3620  63 1869-2024 0.79 M-v 3Ek MPCLINUX   0000    (109) Felicitas          20240702
00110    7.88  0.15 K243V 240.63516  282.22433   56.77056    5.95988  0.0795273  0.21809354   2.7334272  0 E2024-N27  4068  73 1870-2024 0.74 M-v 3Ek MPCLINUX   0000    (110) Lydia              20240701
00111    8.25  0.15 K243V 129.23157  168.28632  305.66757    4.93121  0.1030617  0.23593059   2.5938601  0 E2024-N16  6690  65 1870-2024 0.58 M-v 3Ek MPCLINUX   0000    (111) Ate                20240701
00112    9.79  0.15 K243V 176.67023   16.93091  323.36631    2.59737  0.1283094  0.25968754   2.4331487  0 E2024-N16  5086  57 1870-2024 0.73 M-v 3Ek MPCLINUX   0000    (112) Iphigenia          20240629
00113    8.56  0.15 K243V 258.91875   80.07466  123.32788    5.04187  0.0858340  0.26905050   2.3763670  0 E2024-G95  4534  86 1871-2024 0.59 M-v 3Ek MPCLINUX   0000    (113) Amalthea           20240407
00114    8.50  0.15 K243V 106.66641  352.57605  164.05870    4.94449  0.1384583  0.22510686   2.6763540  0 E2024-N16  8216  68 1902-2024 0.53 M-v 3Ek MPCLINUX   0000    (114) Kassandra          20240701
00115    7.79  0.15 K243V 140.35843   96.89934  308.76736   11.58590  0.1925796  0.26842678   2.3800467  0 E2024-N27  5702  74 1872-2024 0.58 M-v 3Ek MPCLINUX   0000    (115) Thyra              20240702
00116    7.83  0.15 K243V 248.29304   93.97668   63.68873    3.56406  0.1397996  0.21380489   2.7698588  0 E2024-C37  3863  72 1872-2024 0.61 M-v 3Ek MPCLINUX   0000    (116) Sirona             20240202
00117    8.18  0.15 K243V 130.79684   52.55730  348.63731   14.92497  0.0233485  0.19056696   2.9906871  0 E2024-N16  5892  67 1876-2024 0.62 M-v 3Ek MPCLINUX   0000    (117) Lomia              20240629
00118    8.94  0.15 K243V  56.99334   32.94399   47.63752    7.74813  0.1635174  0.25906838   2.4370238  0 E2024-N16  5500  66 1872-2024 0.64 M-v 3Ek MPCLINUX   0000    (118) Peitho             20240629
00119    8.39  0.15 K243V  59.30841  170.73285  203.62481    5.78736  0.0821319  0.23759265   2.5817492  0 E2024-H23  4268  70 1872-2024 0.57 M-v 3Ek MPCLINUX   0000    (119) Althaea            20240416
00120    7.84  0.15 K243V 191.94956  238.09282  340.94485    6.93419  0.0489236  0.17815997   3.1279703  0 E2024-E11  5285  68 1872-2024 0.48 M-v 3Ek MPCLINUX   0000    (120) Lachesis           20240301
00121    7.44  0.15 K243V 135.92800  297.01254   72.87343    7.56678  0.1254444  0.15351348   3.4543927  0 E2024-MB4  7183  79 1872-2024 0.63 M-v 3Ek MPCLINUX   0000    (121) Hermione           20240628
00122    7.70  0.15 K243V 284.02187  317.44578  178.07783    1.64306  0.0259191  0.16936372   3.2353589  0 E2024-EC3  4368  78 1872-2024 0.61 M-v 3Ek MPCLINUX   0000    (122) Gerda              20240306
00123    9.01  0.15 K243V   1.90758  124.82353  307.61735    6.41118  0.1207467  0.22266224   2.6959076  0 E2024-H40  7223  59 1872-2024 0.41 M-v 3Ek MPCLINUX   0000    (123) Brunhild           20240416
00124    8.08  0.15 K243V 270.21944   61.87784  187.91253    2.96379  0.0782098  0.23122126   2.6289614  0 E2024-N16  4417  77 1872-2024 0.77 M-v 3Ek MPCLINUX   0000    (124) Alkeste            20240629
00125    8.96  0.15 K243V 194.52239  109.83280  168.94048    4.66526  0.0811588  0.21710208   2.7417429  0 E2024-JM0  6084  73 1872-2024 0.48 M-v 3Ek MPCLINUX   0000    (125) Liberatrix         20240508
00126    9.28  0.15 K243V 306.80157  328.29205   23.23550    2.92322  0.1051826  0.25872714   2.4391662  0 E2024-N27  8497  65 1872-2024 0.54 M-v 3Ek MPCLINUX   0000    (126) Velleda            20240701
00127    8.57  0.15 K243V 313.43759   92.24473   31.11881    8.23993  0.0641257  0.21520752   2.7578105  0 E2024-F78  5496  58 1893-2024 0.46 M-v 3Ek MPCLINUX   0000    (127) Johanna            20240322
00128    7.70  0.15 K243V 102.17564  302.79327   76.15935    6.24714  0.1275796  0.21629188   2.7485854  0 E2024-M11  4636  80 1872-2024 0.68 M-v 3Ek MPCLINUX   0000    (128) Nemesis            20240616
00129    7.01  0.15 K243V 305.82779  110.63133  135.66388   12.26920  0.2129551  0.20291467   2.8680964  0 E2024-N27  3716  76 1876-2024 0.84 M-v 3Ek MPCLINUX   0000    (129) Antigone           20240701
